time,elapsed_s,state,battery,fan,water,mode,clean_time_s,clean_area_raw,fault
2026-06-12T14:53:43,65.1,mopping,69,max_plus,high,mop,3231,33,0
2026-06-12T14:53:44,66.3,mopping,69,max_plus,high,mop,3232,33,0
2026-06-12T14:53:45,67.5,mopping,69,max_plus,high,mop,3233,33,0
2026-06-12T14:53:46,68.0,mopping,69,max_plus,high,mop,3234,33,0
2026-06-12T14:53:47,69.0,mopping,69,max_plus,high,mop,3235,33,0
2026-06-12T14:53:48,70.1,mopping,69,max_plus,high,mop,3236,33,0
2026-06-12T14:53:49,70.8,mopping,69,max_plus,high,mop,3236,33,0
2026-06-12T14:53:49,71.3,mopping,69,max_plus,high,mop,3237,33,0
2026-06-12T14:53:50,72.3,mopping,69,max_plus,high,mop,3238,33,0
2026-06-12T14:53:51,73.3,mopping,69,max_plus,high,mop,3239,33,0
2026-06-12T14:53:52,74.0,mopping,69,max_plus,high,mop,3240,33,0
2026-06-12T14:53:53,75.0,mopping,69,max_plus,high,mop,3241,33,0
2026-06-12T14:53:54,76.1,mopping,69,max_plus,high,mop,3242,33,0
2026-06-12T14:53:55,77.2,mopping,69,max_plus,high,mop,3243,33,0
2026-06-12T14:53:56,78.4,mopping,69,max_plus,high,mop,3244,33,0
2026-06-12T14:53:57,79.0,mopping,69,max_plus,high,mop,3245,33,0
2026-06-12T14:53:58,80.2,mopping,69,max_plus,high,mop,3246,33,0
2026-06-12T14:53:59,80.7,mopping,69,max_plus,high,mop,3246,33,0
2026-06-12T14:53:59,81.1,mopping,69,max_plus,high,mop,3247,33,0
2026-06-12T14:54:00,82.3,mopping,69,max_plus,high,mop,3248,33,0
2026-06-12T14:54:01,83.3,mopping,69,max_plus,high,mop,3249,33,0
2026-06-12T14:54:02,84.0,mopping,69,max_plus,high,mop,3250,33,0
2026-06-12T14:54:03,85.0,mopping,69,max_plus,high,mop,3251,33,0
2026-06-12T14:54:04,86.1,mopping,69,max_plus,high,mop,3252,33,0
2026-06-12T14:54:05,87.3,mopping,69,max_plus,high,mop,3253,33,0
2026-06-12T14:54:06,88.2,mopping,69,max_plus,high,mop,3254,33,0
2026-06-12T14:54:07,89.4,mopping,69,max_plus,high,mop,3255,33,0
2026-06-12T14:54:08,89.8,mopping,69,max_plus,high,mop,3256,33,0
2026-06-12T14:54:09,91.1,mopping,69,max_plus,high,mop,3257,33,0
2026-06-12T14:54:10,92.0,mopping,69,max_plus,high,mop,3258,33,0
2026-06-12T14:54:11,93.1,mopping,69,max_plus,high,mop,3259,33,0
2026-06-12T14:54:12,94.4,mopping,69,max_plus,high,mop,3260,33,0
2026-06-12T14:54:13,95.4,mopping,69,max_plus,high,mop,3261,33,0
2026-06-12T14:54:14,95.9,mopping,69,max_plus,high,mop,3262,33,0
2026-06-12T14:54:15,97.0,mopping,69,max_plus,high,mop,3263,33,0
2026-06-12T14:54:16,98.1,mopping,69,max_plus,high,mop,3264,33,0
2026-06-12T14:54:17,99.1,mopping,69,max_plus,high,mop,3265,33,0
2026-06-12T14:54:18,100.4,mopping,69,max_plus,high,mop,3266,33,0
2026-06-12T14:54:19,101.0,mopping,69,max_plus,high,mop,3267,33,0
2026-06-12T14:54:20,101.9,mopping,69,max_plus,high,mop,3268,33,0
2026-06-12T14:54:21,103.0,mopping,69,max_plus,high,mop,3269,33,0
2026-06-12T14:54:22,104.1,mopping,69,max_plus,high,mop,3270,33,0
2026-06-12T14:54:23,105.3,mopping,69,max_plus,high,mop,3271,33,0
2026-06-12T14:54:24,106.2,mopping,69,max_plus,high,mop,3272,33,0
2026-06-12T14:54:25,107.5,mopping,69,max_plus,high,mop,3273,33,0
2026-06-12T14:54:26,108.5,mopping,69,max_plus,high,mop,3274,33,0
2026-06-12T14:54:27,109.0,mopping,69,max_plus,high,mop,3275,33,0
2026-06-12T14:54:28,110.1,mopping,69,max_plus,high,mop,3276,33,0
2026-06-12T14:54:29,110.7,mopping,69,max_plus,high,mop,3276,33,0
2026-06-12T14:54:29,111.1,mopping,69,max_plus,high,mop,3277,33,0
2026-06-12T14:54:30,112.2,mopping,69,max_plus,high,mop,3278,33,0
2026-06-12T14:54:31,113.4,mopping,69,max_plus,high,mop,3279,33,0
2026-06-12T14:54:32,114.0,mopping,69,max_plus,high,mop,3280,33,0
2026-06-12T14:54:33,115.1,mopping,69,max_plus,high,mop,3281,33,0
2026-06-12T14:54:34,116.1,mopping,69,max_plus,high,mop,3282,33,0
2026-06-12T14:54:35,117.1,mopping,69,max_plus,high,mop,3283,33,0
2026-06-12T14:54:36,118.2,mopping,69,max_plus,high,mop,3284,33,0
2026-06-12T14:54:37,119.4,mopping,69,max_plus,high,mop,3285,33,0
2026-06-12T14:54:38,120.0,mopping,69,max_plus,high,mop,3286,33,0
2026-06-12T14:54:39,121.2,mopping,69,max_plus,high,mop,3287,33,0
2026-06-12T14:54:40,122.1,mopping,69,max_plus,high,mop,3288,33,0
2026-06-12T14:54:41,123.2,mopping,69,max_plus,high,mop,3289,33,0
2026-06-12T14:54:42,124.3,mopping,69,max_plus,high,mop,3290,33,0
2026-06-12T14:54:43,125.3,mopping,69,max_plus,high,mop,3291,33,0
2026-06-12T14:54:44,125.8,mopping,69,max_plus,high,mop,3292,33,0
2026-06-12T14:54:45,127.0,mopping,69,max_plus,high,mop,3293,33,0
2026-06-12T14:54:46,128.1,mopping,69,max_plus,high,mop,3294,33,0
2026-06-12T14:54:47,129.1,mopping,69,max_plus,high,mop,3295,33,0
2026-06-12T14:54:48,130.2,mopping,69,max_plus,high,mop,3296,33,0
2026-06-12T14:54:49,130.9,mopping,69,max_plus,high,mop,3296,33,0
2026-06-12T14:54:49,131.3,mopping,69,max_plus,high,mop,3297,33,0
2026-06-12T14:54:50,131.9,mopping,69,max_plus,high,mop,3298,33,0
2026-06-12T14:54:51,132.9,mopping,69,max_plus,high,mop,3299,33,0
2026-06-12T14:54:52,134.0,mopping,69,max_plus,high,mop,3300,33,0
2026-06-12T14:54:53,135.2,mopping,69,max_plus,high,mop,3301,33,0
2026-06-12T14:54:54,136.3,mopping,69,max_plus,high,mop,3302,33,0
2026-06-12T14:54:55,136.8,mopping,69,max_plus,high,mop,3303,33,0
2026-06-12T14:54:56,138.1,mopping,69,max_plus,high,mop,3304,33,0
2026-06-12T14:54:57,139.0,mopping,69,max_plus,high,mop,3305,33,0
2026-06-12T14:54:58,140.0,mopping,69,max_plus,high,mop,3306,33,0
2026-06-12T14:54:59,140.8,mopping,69,max_plus,high,mop,3306,33,0
2026-06-12T14:54:59,141.2,mopping,69,max_plus,high,mop,3307,33,0
2026-06-12T14:55:00,142.3,mopping,69,max_plus,high,mop,3308,33,0
2026-06-12T14:55:01,142.9,mopping,69,max_plus,high,mop,3309,34,0
2026-06-12T14:55:02,144.0,mopping,69,max_plus,high,mop,3310,34,0
2026-06-12T14:55:03,145.0,mopping,69,max_plus,high,mop,3311,34,0
2026-06-12T14:55:04,146.2,mopping,69,max_plus,high,mop,3312,34,0
2026-06-12T14:55:05,147.3,mopping,69,max_plus,high,mop,3313,34,0
2026-06-12T14:55:06,148.3,mopping,69,max_plus,high,mop,3314,34,0
2026-06-12T14:55:07,148.9,mopping,68,max_plus,high,mop,3314,34,0
2026-06-12T14:55:07,149.5,mopping,68,max_plus,high,mop,3315,34,0
2026-06-12T14:55:08,149.9,mopping,68,max_plus,high,mop,3316,34,0
2026-06-12T14:55:09,151.1,mopping,68,max_plus,high,mop,3317,34,0
2026-06-12T14:55:10,152.2,mopping,68,max_plus,high,mop,3318,34,0
2026-06-12T14:55:11,153.6,mopping,68,max_plus,high,mop,3319,34,0
2026-06-12T14:55:12,153.8,mopping,68,max_plus,high,mop,3320,34,0
2026-06-12T14:55:13,154.9,mopping,68,max_plus,high,mop,3321,34,0
2026-06-12T14:55:14,156.0,mopping,68,max_plus,high,mop,3322,34,0
2026-06-12T14:55:15,157.2,mopping,68,max_plus,high,mop,3323,34,0
2026-06-12T14:55:16,158.3,mopping,68,max_plus,high,mop,3324,34,0
2026-06-12T14:55:17,159.3,mopping,68,max_plus,high,mop,3325,34,0
2026-06-12T14:55:18,159.9,mopping,68,max_plus,high,mop,3326,34,0
2026-06-12T14:55:19,161.1,mopping,68,max_plus,high,mop,3327,34,0
2026-06-12T14:55:20,162.2,mopping,68,max_plus,high,mop,3328,34,0
2026-06-12T14:55:21,163.1,mopping,68,max_plus,high,mop,3329,34,0
2026-06-12T14:55:22,164.2,mopping,68,max_plus,high,mop,3330,34,0
2026-06-12T14:55:23,165.4,mopping,68,max_plus,high,mop,3331,34,0
2026-06-12T14:55:24,166.0,mopping,68,max_plus,high,mop,3332,34,0
2026-06-12T14:55:25,167.2,mopping,68,max_plus,high,mop,3333,34,0
2026-06-12T14:55:26,168.3,mopping,68,max_plus,high,mop,3334,34,0
2026-06-12T14:55:27,169.4,mopping,68,max_plus,high,mop,3335,34,0
2026-06-12T14:55:28,170.3,mopping,68,max_plus,high,mop,3336,34,0
2026-06-12T14:55:29,171.0,mopping,68,max_plus,high,mop,3337,34,0
2026-06-12T14:55:30,171.9,mopping,68,max_plus,high,mop,3338,34,0
2026-06-12T14:55:31,173.2,mopping,68,max_plus,high,mop,3339,34,0
2026-06-12T14:55:32,174.1,mopping,68,max_plus,high,mop,3340,34,0
2026-06-12T14:55:33,175.1,mopping,68,max_plus,high,mop,3341,34,0
2026-06-12T14:55:34,176.2,mopping,68,max_plus,high,mop,3342,34,0
2026-06-12T14:55:35,177.3,mopping,68,max_plus,high,mop,3343,34,0
2026-06-12T14:55:36,177.9,mopping,68,max_plus,high,mop,3344,34,0
2026-06-12T14:55:37,179.0,mopping,68,max_plus,high,mop,3345,34,0
2026-06-12T14:55:38,180.0,mopping,68,max_plus,high,mop,3346,34,0
2026-06-12T14:55:39,180.7,mopping,68,max_plus,high,mop,3346,34,0
2026-06-12T14:55:39,181.2,mopping,68,max_plus,high,mop,3347,34,0
2026-06-12T14:55:40,182.3,mopping,68,max_plus,high,mop,3348,34,0
2026-06-12T14:55:41,183.5,mopping,68,max_plus,high,mop,3349,34,0
2026-06-12T14:55:42,184.0,mopping,68,max_plus,high,mop,3350,34,0
2026-06-12T14:55:43,185.0,mopping,68,max_plus,high,mop,3351,34,0
2026-06-12T14:55:44,186.2,mopping,68,max_plus,high,mop,3352,34,0
2026-06-12T14:55:45,187.1,mopping,68,max_plus,high,mop,3353,34,0
2026-06-12T14:55:46,188.2,mopping,68,max_plus,high,mop,3354,34,0
2026-06-12T14:55:47,189.2,mopping,68,max_plus,high,mop,3355,34,0
2026-06-12T14:55:48,189.9,mopping,68,max_plus,high,mop,3356,34,0
2026-06-12T14:55:49,191.0,mopping,68,max_plus,high,mop,3357,34,0
2026-06-12T14:55:50,192.1,mopping,68,max_plus,high,mop,3358,34,0
2026-06-12T14:55:51,193.1,mopping,68,max_plus,high,mop,3359,34,0
2026-06-12T14:55:52,194.2,mopping,68,max_plus,high,mop,3360,34,0
2026-06-12T14:55:53,195.6,mopping,68,max_plus,high,mop,3361,34,0
2026-06-12T14:55:54,195.9,mopping,68,max_plus,high,mop,3362,34,0
2026-06-12T14:55:55,196.9,mopping,68,max_plus,high,mop,3363,34,0
2026-06-12T14:55:56,197.9,mopping,68,max_plus,high,mop,3364,34,0
2026-06-12T14:55:57,199.3,mopping,68,max_plus,high,mop,3365,34,0
2026-06-12T14:55:58,200.1,mopping,68,max_plus,high,mop,3366,34,0
2026-06-12T14:55:59,200.9,mopping,68,max_plus,high,mop,3366,34,0
2026-06-12T14:55:59,201.3,mopping,68,max_plus,high,mop,3367,34,0
2026-06-12T14:56:00,202.3,mopping,68,max_plus,high,mop,3368,34,0
2026-06-12T14:56:01,203.0,mopping,68,max_plus,high,mop,3369,34,0
2026-06-12T14:56:02,204.1,mopping,68,max_plus,high,mop,3370,34,0
2026-06-12T14:56:03,205.2,mopping,68,max_plus,high,mop,3371,34,0
2026-06-12T14:56:04,206.2,mopping,68,max_plus,high,mop,3372,34,0
2026-06-12T14:56:05,207.4,mopping,68,max_plus,high,mop,3373,34,0
2026-06-12T14:56:06,208.0,mopping,68,max_plus,high,mop,3374,34,0
